C,alpha,estimator,gamma,kernel,lambda,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_jobs,n_neighbors,penalty,std_score,subsample
,,ExtraTrees,,,,,,0.9948320413436692,0.9823428079242033,1.0,3.0,0.9612403100775194,100.0,,,,0.015005384487669506,
,,ExtraTrees,,,,,,0.9948320413436692,0.9781797301177144,1.0,2.0,0.9487510766580534,20.0,,,,0.02086927593766874,
,,ExtraTrees,,,,,,0.9944013781223084,0.9810508182601206,1.0,2.0,0.9577950043066322,100.0,,,,0.016504387193373247,
,,ExtraTrees,,,,,,0.9944013781223084,0.9801894918173988,1.0,2.0,0.9552110249784668,60.0,,,,0.017718359351840726,
,,ExtraTrees,,,,,,0.9944013781223084,0.9811943726672409,1.0,3.0,0.9586563307493541,20.0,,,,0.016015165396721882,
,,ExtraTrees,,,,,,0.9944013781223084,0.9816250358886016,1.0,3.0,0.9595176571920758,60.0,,,,0.015695427733099725,
,,RandomForest,,,,,,0.9939707149009476,0.9656904966982488,,2.0,0.9130060292850992,100.0,,,,0.03728713463437158,
,,RandomForest,,,,,,0.9939707149009476,0.9666953775480908,,3.0,0.9164513350559862,100.0,,,,0.035571380113017144,
,,RandomForest,,,,,,0.9939707149009476,0.9656904966982486,,4.0,0.9142980189491816,100.0,,,,0.03640116322371798,
,,RandomForest,,,,,,0.9939707149009476,0.9651162790697674,,2.0,0.9112833763996556,60.0,,,,0.038098485020838,
,,RandomForest,,,,,,0.9935400516795866,0.9671260407694516,,3.0,0.9181739879414298,60.0,,,,0.03465047754327299,
,,RandomForest,,,,,,0.9931093884582256,0.9643985070341659,,4.0,0.9112833763996556,60.0,,,,0.037599198546393306,
,,RandomForest,,,,,,0.9918173987941429,0.962532299741602,,2.0,0.9078380706287684,20.0,,,,0.038707017517004866,
,,ExtraTrees,,,,,,0.991386735572782,0.9849267872523688,2.0,2.0,0.9728682170542636,60.0,,,,0.008533944270859543,
,,BaggedDecisionTree,,,,,,0.991386735572782,0.9572207866781509,,,0.8940568475452196,100.0,,,,0.04471345326453685,
,,ExtraTrees,,,,,,0.991386735572782,0.9849267872523688,2.0,3.0,0.9728682170542636,60.0,,,,0.008533944270859543,
,,RandomForest,,,,,,0.9909560723514212,0.9632500717772036,,3.0,0.9117140396210164,20.0,,,,0.03647581611341855,
,,RandomForest,,,,,,0.9909560723514212,0.9641113982199252,,4.0,0.9142980189491816,20.0,,,,0.035258902891661566,
,,ExtraTrees,,,,,,0.9909560723514212,0.9844961240310076,2.0,3.0,0.9720068906115418,100.0,,,,0.008832971612354365,
